,from,to,period,all_period_flow,female_period_flow,male_period_flow,period_year
4194,China,Malaysia,1.0,6,2.0,4.0,1998-2002
15787,Poland,Brazil,1.0,2,0.0,2.0,1998-2002
8759,India,Cuba,1.0,4,3.0,1.0,1998-2002
8782,India,Eritrea,1.0,2,0.0,2.0,1998-2002
22116,United Kingdom,United Arab Emirates,1.0,25,6.0,19.0,1998-2002
20735,Tunisia,Egypt,1.0,1,0.0,1.0,1998-2002
4245,China,Panama,1.0,1,1.0,0.0,1998-2002
22108,United Kingdom,Uganda,1.0,11,5.0,6.0,1998-2002
20739,Tunisia,El Salvador,1.0,1,1.0,0.0,1998-2002
8745,India,China,1.0,34,6.0,20.0,1998-2002
4239,China,Pakistan,1.0,10,3.0,7.0,1998-2002
4237,China,Oman,1.0,1,0.0,1.0,1998-2002
15764,Poland,Australia,1.0,19,6.0,13.0,1998-2002
8749,India,Colombia,1.0,1,0.0,1.0,1998-2002
4233,China,Norway,1.0,14,2.0,11.0,1998-2002
13552,Nepal,Norway,1.0,1,0.0,1.0,1998-2002
22112,United Kingdom,Ukraine,1.0,18,1.0,17.0,1998-2002
18506,South Korea,Philippines,1.0,1,1.0,0.0,1998-2002
15768,Poland,Austria,1.0,23,3.0,18.0,1998-2002
8755,India,Croatia,1.0,10,2.0,8.0,1998-2002
4225,China,Nigeria,1.0,1,0.0,1.0,1998-2002
13549,Nepal,Nigeria,1.0,2,0.0,2.0,1998-2002
15772,Poland,Bangladesh,1.0,3,2.0,1.0,1998-2002
4220,China,New Zealand,1.0,33,4.0,27.0,1998-2002
13536,Nepal,Kuwait,1.0,1,0.0,1.0,1998-2002
15791,Poland,Bulgaria,1.0,7,3.0,4.0,1998-2002
8785,India,Ethiopia,1.0,2,0.0,1.0,1998-2002
13520,Nepal,Ireland,1.0,1,0.0,1.0,1998-2002
20716,Tunisia,Burundi,1.0,4,2.0,2.0,1998-2002
19206,Sweden,Australia,1.0,70,18.0,52.0,1998-2002
4147,China,Iran,1.0,3,1.0,2.0,1998-2002
15810,Poland,Croatia,1.0,1,0.0,1.0,1998-2002
13517,Nepal,Iran,1.0,1,0.0,1.0,1998-2002
22140,United Kingdom,Yemen,1.0,2,0.0,2.0,1998-2002
4141,China,India,1.0,19,3.0,12.0,1998-2002
8821,India,Indonesia,1.0,4,1.0,3.0,1998-2002
15813,Poland,Cuba,1.0,1,0.0,1.0,1998-2002
4136,China,Hungary,1.0,5,1.0,3.0,1998-2002
15816,Poland,Czechia,1.0,11,2.0,9.0,1998-2002
8825,India,Iran,1.0,10,1.0,9.0,1998-2002
4132,China,Greece,1.0,2,0.0,2.0,1998-2002
22144,United Kingdom,Zambia,1.0,7,2.0,5.0,1998-2002
13513,Nepal,India,1.0,13,1.0,12.0,1998-2002
4129,China,Ghana,1.0,1,0.0,1.0,1998-2002
4154,China,Ireland,1.0,14,6.0,7.0,1998-2002
15806,Poland,Colombia,1.0,2,0.0,2.0,1998-2002
22136,United Kingdom,Vietnam,1.0,3,0.0,3.0,1998-2002
4158,China,Israel,1.0,52,19.0,29.0,1998-2002
20726,Tunisia,Chile,1.0,2,1.0,1.0,1998-2002
22128,United Kingdom,Uzbekistan,1.0,1,0.0,1.0,1998-2002
15795,Poland,Canada,1.0,32,8.0,22.0,1998-2002
8791,India,Finland,1.0,5,1.0,4.0,1998-2002
4180,China,Kuwait,1.0,1,0.0,1.0,1998-2002
13530,Nepal,Japan,1.0,7,2.0,5.0,1998-2002
4176,China,Kenya,1.0,3,0.0,2.0,1998-2002
8795,India,France,1.0,62,20.0,33.0,1998-2002
4005,Chile,United States,1.0,93,26.0,67.0,1998-2002
20722,Tunisia,Canada,1.0,4,0.0,4.0,1998-2002
22132,United Kingdom,Venezuela,1.0,22,8.0,14.0,1998-2002
4167,China,Japan,1.0,735,132.0,535.0,1998-2002
20720,Tunisia,Cameroon,1.0,1,0.0,1.0,1998-2002
18497,South Korea,Pakistan,1.0,1,0.0,1.0,1998-2002
15802,Poland,China,1.0,5,2.0,3.0,1998-2002
8804,India,Germany,1.0,171,33.0,120.0,1998-2002
4162,China,Italy,1.0,37,9.0,24.0,1998-2002
13525,Nepal,Italy,1.0,2,1.0,1.0,1998-2002
4171,China,Jordan,1.0,2,0.0,2.0,1998-2002
15760,Poland,Argentina,1.0,7,5.0,2.0,1998-2002
15881,Poland,Japan,1.0,38,5.0,33.0,1998-2002
4001,Chile,United Kingdom,1.0,18,4.0,14.0,1998-2002
3838,Chile,Australia,1.0,4,1.0,3.0,1998-2002
13394,Mozambique,Netherlands,1.0,7,4.0,3.0,1998-2002
3834,Chile,Argentina,1.0,7,1.0,6.0,1998-2002
9059,India,Vietnam,1.0,1,0.0,1.0,1998-2002
15966,Poland,Slovenia,1.0,1,0.0,1.0,1998-2002
20643,Thailand,United States,1.0,120,37.0,69.0,1998-2002
3827,Chad,France,1.0,1,0.0,1.0,1998-2002
22239,United States,Burkina Faso,1.0,1,0.0,1.0,1998-2002
9066,India,Zambia,1.0,1,0.0,1.0,1998-2002
15970,Poland,South Africa,1.0,6,0.0,6.0,1998-2002
9070,Indonesia,Australia,1.0,14,3.0,9.0,1998-2002
19253,Sweden,Canada,1.0,122,27.0,88.0,1998-2002
3819,Central African Republic,Senegal,1.0,1,0.0,1.0,1998-2002
20639,Thailand,United Kingdom,1.0,47,16.0,25.0,1998-2002
9074,Indonesia,Austria,1.0,2,1.0,1.0,1998-2002
15974,Poland,South Korea,1.0,7,0.0,5.0,1998-2002
3814,Central African Republic,France,1.0,4,0.0,4.0,1998-2002
15962,Poland,Slovakia,1.0,6,1.0,5.0,1998-2002
22243,United States,Burundi,1.0,17,8.0,7.0,1998-2002
22235,United States,Bulgaria,1.0,35,11.0,24.0,1998-2002
9053,India,United States,1.0,1111,236.0,805.0,1998-2002
15948,Poland,Russia,1.0,42,6.0,36.0,1998-2002
13404,Mozambique,Russia,1.0,3,0.0,3.0,1998-2002
3865,Chile,Colombia,1.0,5,3.0,2.0,1998-2002
9038,India,Uganda,1.0,2,0.0,2.0,1998-2002
22228,United States,Brazil,1.0,715,206.0,499.0,1998-2002
9042,India,Ukraine,1.0,1,0.0,1.0,1998-2002
3858,Chile,Canada,1.0,8,2.0,6.0,1998-2002
18455,South Korea,Kuwait,1.0,1,0.0,1.0,1998-2002
3854,Chile,Brazil,1.0,11,1.0,10.0,1998-2002
15954,Poland,Serbia,1.0,8,2.0,5.0,1998-2002
9045,India,United Arab Emirates,1.0,4,1.0,3.0,1998-2002
13400,Mozambique,Portugal,1.0,7,5.0,2.0,1998-2002
15958,Poland,Singapore,1.0,2,1.0,1.0,1998-2002
20647,Thailand,Vietnam,1.0,2,0.0,2.0,1998-2002
3847,Chile,Belgium,1.0,3,1.0,2.0,1998-2002
9049,India,United Kingdom,1.0,199,51.0,136.0,1998-2002
19249,Sweden,Burundi,1.0,2,0.0,2.0,1998-2002
