,from,to,period,all_period_flow,female_period_flow,male_period_flow,period_year
6402,Finland,France,1.0,37,10.0,27.0,1998-2002
18950,Spain,Venezuela,1.0,26,11.0,15.0,1998-2002
7081,France,Turkey,1.0,18,7.0,11.0,1998-2002
6406,Finland,Gabon,1.0,1,0.0,1.0,1998-2002
14390,Nigeria,Georgia,1.0,12,1.0,11.0,1998-2002
7064,France,Tanzania,1.0,1,1.0,0.0,1998-2002
21424,Ukraine,Uzbekistan,1.0,3,0.0,3.0,1998-2002
7068,France,Thailand,1.0,7,3.0,2.0,1998-2002
6425,Finland,India,1.0,3,0.0,3.0,1998-2002
7072,France,Togo,1.0,6,3.0,3.0,1998-2002
6421,Finland,Iceland,1.0,1,1.0,0.0,1998-2002
21426,Ukraine,Venezuela,1.0,1,0.0,1.0,1998-2002
14684,Norway,Israel,1.0,6,3.0,3.0,1998-2002
6417,Finland,Hungary,1.0,10,2.0,8.0,1998-2002
21243,Ukraine,Austria,1.0,10,1.0,9.0,1998-2002
18848,Spain,Peru,1.0,5,1.0,4.0,1998-2002
6413,Finland,Greece,1.0,2,1.0,1.0,1998-2002
14687,Norway,Italy,1.0,19,5.0,14.0,1998-2002
7077,France,Tunisia,1.0,117,24.0,89.0,1998-2002
21429,Ukraine,Zimbabwe,1.0,1,0.0,1.0,1998-2002
6407,Finland,Germany,1.0,70,22.0,48.0,1998-2002
14383,Nigeria,France,1.0,3,1.0,1.0,1998-2002
6375,Finland,China,1.0,24,6.0,15.0,1998-2002
14706,Norway,Lebanon,1.0,1,0.0,1.0,1998-2002
14707,Norway,Lithuania,1.0,1,0.0,1.0,1998-2002
14729,Norway,Netherlands,1.0,25,9.0,16.0,1998-2002
21458,United Arab Emirates,China,1.0,2,0.0,2.0,1998-2002
14357,Nigeria,Canada,1.0,3,0.0,3.0,1998-2002
14354,Nigeria,Cameroon,1.0,6,1.0,5.0,1998-2002
14733,Norway,New Zealand,1.0,4,0.0,4.0,1998-2002
14353,Nigeria,Burkina Faso,1.0,1,0.0,1.0,1998-2002
7145,French Guiana,Thailand,1.0,1,0.0,1.0,1998-2002
14349,Nigeria,Brazil,1.0,2,0.0,2.0,1998-2002
21219,Uganda,Tanzania,1.0,1,1.0,0.0,1998-2002
7154,French Polynesia,France,1.0,6,1.0,5.0,1998-2002
6317,Ethiopia,United States,1.0,15,6.0,9.0,1998-2002
18828,Spain,Norway,1.0,12,3.0,9.0,1998-2002
6313,Ethiopia,United Kingdom,1.0,5,1.0,3.0,1998-2002
14345,Nigeria,Botswana,1.0,4,1.0,3.0,1998-2002
7158,French Polynesia,Japan,1.0,1,1.0,0.0,1998-2002
7159,French Polynesia,Mexico,1.0,1,0.0,1.0,1998-2002
18959,Sri Lanka,Australia,1.0,3,1.0,1.0,1998-2002
21225,Uganda,United Kingdom,1.0,10,3.0,7.0,1998-2002
21454,United Arab Emirates,Canada,1.0,9,1.0,8.0,1998-2002
6337,Finland,Argentina,1.0,2,0.0,2.0,1998-2002
7134,French Guiana,France,1.0,3,2.0,1.0,1998-2002
7102,France,United States,1.0,1960,538.0,1401.0,1998-2002
21236,Ukraine,Argentina,1.0,1,0.0,1.0,1998-2002
7106,France,Uruguay,1.0,6,1.0,5.0,1998-2002
6367,Finland,Canada,1.0,49,17.0,31.0,1998-2002
14372,Nigeria,Egypt,1.0,2,0.0,2.0,1998-2002
6362,Finland,Bulgaria,1.0,2,2.0,0.0,1998-2002
18839,Spain,Panama,1.0,2,1.0,1.0,1998-2002
7112,France,Venezuela,1.0,19,4.0,15.0,1998-2002
14680,Norway,Ireland,1.0,1,0.0,1.0,1998-2002
6358,Finland,Brazil,1.0,2,0.0,2.0,1998-2002
6354,Finland,Belgium,1.0,52,10.0,42.0,1998-2002
7116,France,Vietnam,1.0,3,1.0,2.0,1998-2002
6351,Finland,Belarus,1.0,1,0.0,1.0,1998-2002
14365,Nigeria,Cyprus,1.0,3,2.0,1.0,1998-2002
21229,Uganda,United States,1.0,10,2.0,8.0,1998-2002
6345,Finland,Austria,1.0,12,4.0,8.0,1998-2002
18954,Spain,Vietnam,1.0,3,0.0,3.0,1998-2002
6341,Finland,Australia,1.0,18,5.0,13.0,1998-2002
21233,Uganda,Uruguay,1.0,1,0.0,1.0,1998-2002
5784,Egypt,Belgium,1.0,7,1.0,6.0,1998-2002
7060,France,Taiwan,1.0,17,3.0,9.0,1998-2002
7056,France,Syria,1.0,3,1.0,2.0,1998-2002
21394,Ukraine,Spain,1.0,10,0.0,10.0,1998-2002
6996,France,Russia,1.0,144,25.0,119.0,1998-2002
6520,Finland,Portugal,1.0,2,0.0,2.0,1998-2002
14637,Norway,Ethiopia,1.0,3,1.0,1.0,1998-2002
6516,Finland,Poland,1.0,9,3.0,6.0,1998-2002
7002,France,Saudi Arabia,1.0,6,0.0,6.0,1998-2002
6513,Finland,Philippines,1.0,2,2.0,0.0,1998-2002
21261,Ukraine,Brunei,1.0,1,0.0,1.0,1998-2002
21398,Ukraine,Sweden,1.0,21,7.0,14.0,1998-2002
7006,France,Senegal,1.0,49,10.0,38.0,1998-2002
14643,Norway,Finland,1.0,19,6.0,13.0,1998-2002
14414,Nigeria,Indonesia,1.0,1,0.0,1.0,1998-2002
7010,France,Serbia,1.0,17,7.0,10.0,1998-2002
6504,Finland,Oman,1.0,2,0.0,2.0,1998-2002
14647,Norway,France,1.0,29,5.0,24.0,1998-2002
6500,Finland,Norway,1.0,24,6.0,17.0,1998-2002
21402,Ukraine,Switzerland,1.0,14,3.0,11.0,1998-2002
18935,Spain,United Kingdom,1.0,468,179.0,287.0,1998-2002
14410,Nigeria,India,1.0,7,1.0,6.0,1998-2002
14420,Nigeria,Ireland,1.0,1,0.0,1.0,1998-2002
14633,Norway,Estonia,1.0,1,0.0,1.0,1998-2002
18932,Spain,United Arab Emirates,1.0,1,1.0,0.0,1998-2002
6553,Finland,Spain,1.0,12,4.0,8.0,1998-2002
6974,France,Poland,1.0,128,47.0,81.0,1998-2002
6549,Finland,South Korea,1.0,4,1.0,3.0,1998-2002
21269,Ukraine,Chile,1.0,1,0.0,1.0,1998-2002
14624,Norway,Denmark,1.0,53,9.0,43.0,1998-2002
6978,France,Portugal,1.0,65,17.0,47.0,1998-2002
6545,Finland,South Africa,1.0,2,1.0,1.0,1998-2002
21388,Ukraine,South Africa,1.0,1,0.0,1.0,1998-2002
14425,Nigeria,Italy,1.0,1,0.0,1.0,1998-2002
6537,Finland,Singapore,1.0,1,0.0,0.0,1998-2002
6988,France,Reunion,1.0,11,4.0,7.0,1998-2002
21391,Ukraine,South Korea,1.0,7,1.0,6.0,1998-2002
14632,Norway,Eritrea,1.0,1,0.0,1.0,1998-2002
21265,Ukraine,Canada,1.0,18,3.0,15.0,1998-2002
6530,Finland,Russia,1.0,31,4.0,27.0,1998-2002
6992,France,Romania,1.0,39,14.0,25.0,1998-2002
6526,Finland,Romania,1.0,3,1.0,2.0,1998-2002
18939,Spain,United States,1.0,917,316.0,595.0,1998-2002
7016,France,Singapore,1.0,15,3.0,10.0,1998-2002
6493,Finland,New Zealand,1.0,5,2.0,3.0,1998-2002
6462,Finland,Latvia,1.0,2,1.0,1.0,1998-2002
7040,France,Sri Lanka,1.0,1,0.0,0.0,1998-2002
6458,Finland,Kuwait,1.0,3,1.0,2.0,1998-2002
6457,Finland,Kosovo,1.0,1,0.0,1.0,1998-2002
14668,Norway,Iceland,1.0,4,1.0,3.0,1998-2002
21416,Ukraine,United Kingdom,1.0,42,5.0,37.0,1998-2002
14398,Nigeria,Ghana,1.0,1,0.0,1.0,1998-2002
7044,France,Sudan,1.0,2,0.0,2.0,1998-2002
18943,Spain,Uruguay,1.0,10,5.0,5.0,1998-2002
7048,France,Sweden,1.0,133,38.0,92.0,1998-2002
6447,Finland,Japan,1.0,26,1.0,25.0,1998-2002
7052,France,Switzerland,1.0,430,117.0,311.0,1998-2002
6443,Finland,Italy,1.0,20,7.0,12.0,1998-2002
21420,Ukraine,United States,1.0,163,30.0,132.0,1998-2002
14394,Nigeria,Germany,1.0,7,1.0,6.0,1998-2002
21248,Ukraine,Belarus,1.0,8,0.0,8.0,1998-2002
6439,Finland,Israel,1.0,6,2.0,4.0,1998-2002
14664,Norway,Hungary,1.0,6,0.0,6.0,1998-2002
18855,Spain,Poland,1.0,17,4.0,13.0,1998-2002
21252,Ukraine,Belgium,1.0,12,1.0,11.0,1998-2002
14662,Norway,Greenland,1.0,1,0.0,1.0,1998-2002
18859,Spain,Portugal,1.0,57,22.0,34.0,1998-2002
14651,Norway,Germany,1.0,40,6.0,34.0,1998-2002
21257,Ukraine,Brazil,1.0,8,1.0,7.0,1998-2002
6489,Finland,Netherlands,1.0,37,11.0,25.0,1998-2002
7020,France,Slovakia,1.0,9,2.0,7.0,1998-2002
21406,Ukraine,Taiwan,1.0,2,0.0,2.0,1998-2002
6484,Finland,Moldova,1.0,1,0.0,1.0,1998-2002
21256,Ukraine,Bolivia,1.0,1,0.0,1.0,1998-2002
6435,Finland,Ireland,1.0,4,1.0,3.0,1998-2002
7024,France,Slovenia,1.0,4,0.0,4.0,1998-2002
14405,Nigeria,Guyana,1.0,1,0.0,1.0,1998-2002
7028,France,South Africa,1.0,27,4.0,23.0,1998-2002
14658,Norway,Greece,1.0,3,0.0,3.0,1998-2002
7032,France,South Korea,1.0,24,4.0,17.0,1998-2002
14402,Nigeria,Greece,1.0,1,0.0,1.0,1998-2002
7036,France,Spain,1.0,317,110.0,207.0,1998-2002
6469,Finland,Lithuania,1.0,1,0.0,1.0,1998-2002
21411,Ukraine,Turkey,1.0,7,1.0,6.0,1998-2002
6480,Finland,Mexico,1.0,1,0.0,1.0,1998-2002
21104,Turkey,United Kingdom,1.0,74,17.0,57.0,1998-2002
7574,Germany,Latvia,1.0,11,1.0,10.0,1998-2002
15035,Pakistan,Cyprus,1.0,1,0.0,1.0,1998-2002
5111,Czechia,Finland,1.0,10,1.0,9.0,1998-2002
15345,Panama,Singapore,1.0,1,0.0,1.0,1998-2002
13890,Netherlands,Slovakia,1.0,7,1.0,6.0,1998-2002
21845,United Kingdom,Japan,1.0,433,62.0,364.0,1998-2002
18634,Spain,Belgium,1.0,58,16.0,42.0,1998-2002
5105,Czechia,Egypt,1.0,2,0.0,2.0,1998-2002
15348,Panama,South Africa,1.0,1,0.0,1.0,1998-2002
8085,Greece,Latvia,1.0,1,0.0,1.0,1998-2002
5100,Czechia,Denmark,1.0,4,1.0,3.0,1998-2002
15351,Panama,Spain,1.0,3,2.0,1.0,1998-2002
5097,Czechia,Cuba,1.0,1,1.0,0.0,1998-2002
21849,United Kingdom,Jersey,1.0,1,1.0,0.0,1998-2002
8087,Greece,Lebanon,1.0,1,0.0,1.0,1998-2002
5093,Czechia,Croatia,1.0,1,0.0,1.0,1998-2002
20950,Turkey,Hungary,1.0,1,0.0,1.0,1998-2002
8091,Greece,Lithuania,1.0,1,0.0,1.0,1998-2002
13886,Netherlands,Singapore,1.0,10,3.0,7.0,1998-2002
8076,Greece,Japan,1.0,11,1.0,9.0,1998-2002
5088,Czechia,China,1.0,6,1.0,5.0,1998-2002
5115,Czechia,France,1.0,42,13.0,29.0,1998-2002
8072,Greece,Italy,1.0,33,11.0,22.0,1998-2002
20960,Turkey,Iran,1.0,2,0.0,2.0,1998-2002
15332,Panama,Italy,1.0,1,0.0,1.0,1998-2002
15334,Panama,Japan,1.0,2,1.0,1.0,1998-2002
5138,Czechia,India,1.0,1,1.0,0.0,1998-2002
5136,Czechia,Iceland,1.0,1,0.0,1.0,1998-2002
13902,Netherlands,South Korea,1.0,5,0.0,5.0,1998-2002
5132,Czechia,Hungary,1.0,7,2.0,5.0,1998-2002
13898,Netherlands,South Africa,1.0,24,4.0,20.0,1998-2002
20957,Turkey,Indonesia,1.0,1,0.0,1.0,1998-2002
5129,Czechia,Greece,1.0,3,0.0,3.0,1998-2002
8064,Greece,Ireland,1.0,2,1.0,1.0,1998-2002
8068,Greece,Israel,1.0,5,0.0,5.0,1998-2002
5123,Czechia,Germany,1.0,73,20.0,52.0,1998-2002
21841,United Kingdom,Jamaica,1.0,1,0.0,1.0,1998-2002
13894,Netherlands,Slovenia,1.0,6,1.0,5.0,1998-2002
19093,Sudan,Denmark,1.0,2,0.0,2.0,1998-2002
5119,Czechia,Georgia,1.0,3,0.0,3.0,1998-2002
20954,Turkey,India,1.0,4,2.0,2.0,1998-2002
15330,Panama,Israel,1.0,2,1.0,1.0,1998-2002
21853,United Kingdom,Jordan,1.0,19,1.0,18.0,1998-2002
8097,Greece,Malta,1.0,1,0.0,1.0,1998-2002
5058,Czechia,Bahrain,1.0,1,0.0,1.0,1998-2002
15369,Papua New Guinea,Australia,1.0,11,3.0,7.0,1998-2002
5054,Czechia,Austria,1.0,19,1.0,18.0,1998-2002
8115,Greece,Norway,1.0,4,2.0,2.0,1998-2002
5050,Czechia,Australia,1.0,5,0.0,5.0,1998-2002
15373,Papua New Guinea,Botswana,1.0,1,0.0,1.0,1998-2002
15374,Papua New Guinea,Brazil,1.0,1,0.0,1.0,1998-2002
5047,Czechia,Armenia,1.0,1,0.0,1.0,1998-2002
15376,Papua New Guinea,Canada,1.0,4,1.0,3.0,1998-2002
20940,Turkey,Germany,1.0,32,10.0,21.0,1998-2002
21865,United Kingdom,Kuwait,1.0,23,5.0,18.0,1998-2002
5041,Czechia,Albania,1.0,1,0.0,1.0,1998-2002
13871,Netherlands,Russia,1.0,26,7.0,19.0,1998-2002
8123,Greece,Philippines,1.0,1,0.0,1.0,1998-2002
5037,Cyprus,United States,1.0,10,5.0,5.0,1998-2002
8128,Greece,Portugal,1.0,6,2.0,4.0,1998-2002
5033,Cyprus,United Kingdom,1.0,6,0.0,6.0,1998-2002
13878,Netherlands,Saudi Arabia,1.0,1,0.0,1.0,1998-2002
5083,Czechia,Canada,1.0,14,2.0,12.0,1998-2002
21860,United Kingdom,Kenya,1.0,37,7.0,30.0,1998-2002
15367,Panama,Uruguay,1.0,1,0.0,1.0,1998-2002
5080,Czechia,Cameroon,1.0,1,0.0,1.0,1998-2002
15359,Panama,United Kingdom,1.0,3,3.0,0.0,1998-2002
8099,Greece,Mexico,1.0,1,0.0,1.0,1998-2002
13882,Netherlands,Serbia,1.0,1,1.0,0.0,1998-2002
5076,Czechia,Bulgaria,1.0,19,9.0,10.0,1998-2002
20946,Turkey,Greece,1.0,1,1.0,0.0,1998-2002
8102,Greece,Montenegro,1.0,1,0.0,1.0,1998-2002
8103,Greece,Morocco,1.0,1,0.0,1.0,1998-2002
5072,Czechia,Brazil,1.0,5,2.0,3.0,1998-2002
15363,Panama,United States,1.0,43,10.0,33.0,1998-2002
5070,Czechia,Bosnia and Herzegovina,1.0,1,0.0,1.0,1998-2002
13881,Netherlands,Senegal,1.0,1,0.0,1.0,1998-2002
8105,Greece,Nepal,1.0,1,0.0,1.0,1998-2002
19096,Sudan,France,1.0,1,0.0,1.0,1998-2002
8107,Greece,Netherlands,1.0,28,6.0,21.0,1998-2002
5065,Czechia,Belgium,1.0,10,2.0,8.0,1998-2002
18630,Spain,Belarus,1.0,7,1.0,6.0,1998-2002
5061,Czechia,Belarus,1.0,1,0.0,1.0,1998-2002
5145,Czechia,Iran,1.0,2,0.0,2.0,1998-2002
8052,Greece,India,1.0,1,1.0,0.0,1998-2002
18639,Spain,Bolivia,1.0,4,1.0,3.0,1998-2002
13937,Netherlands,Thailand,1.0,5,3.0,2.0,1998-2002
5228,Czechia,Saudi Arabia,1.0,1,0.0,1.0,1998-2002
7995,Greece,Brazil,1.0,1,1.0,0.0,1998-2002
5224,Czechia,Russia,1.0,22,5.0,17.0,1998-2002
21809,United Kingdom,India,1.0,144,36.0,96.0,1998-2002
13933,Netherlands,Tanzania,1.0,2,0.0,2.0,1998-2002
5220,Czechia,Qatar,1.0,1,0.0,1.0,1998-2002
8000,Greece,Bulgaria,1.0,3,1.0,2.0,1998-2002
15299,Panama,Brazil,1.0,1,0.0,1.0,1998-2002
5216,Czechia,Portugal,1.0,8,3.0,5.0,1998-2002
20974,Turkey,Italy,1.0,11,3.0,8.0,1998-2002
8005,Greece,Canada,1.0,20,3.0,17.0,1998-2002
5212,Czechia,Poland,1.0,8,2.0,6.0,1998-2002
5211,Czechia,Philippines,1.0,1,0.0,1.0,1998-2002
21813,United Kingdom,Indonesia,1.0,19,5.0,14.0,1998-2002
13929,Netherlands,Taiwan,1.0,9,3.0,2.0,1998-2002
15303,Panama,Canada,1.0,1,0.0,1.0,1998-2002
15294,Panama,Australia,1.0,3,0.0,3.0,1998-2002
8009,Greece,Chile,1.0,1,0.0,1.0,1998-2002
5232,Czechia,Serbia,1.0,10,7.0,3.0,1998-2002
20978,Turkey,Japan,1.0,16,3.0,13.0,1998-2002
13949,Netherlands,Uganda,1.0,2,0.0,2.0,1998-2002
13945,Netherlands,Turkey,1.0,11,3.0,7.0,1998-2002
5258,Czechia,Sweden,1.0,11,5.0,6.0,1998-2002
15283,Palestinian Territory,United Kingdom,1.0,3,1.0,2.0,1998-2002
20982,Turkey,Jordan,1.0,2,0.0,2.0,1998-2002
5253,Czechia,Spain,1.0,18,7.0,11.0,1998-2002
21801,United Kingdom,Hungary,1.0,66,9.0,57.0,1998-2002
5250,Czechia,South Korea,1.0,3,0.0,3.0,1998-2002
7978,Greece,Australia,1.0,2,0.0,2.0,1998-2002
15286,Palestinian Territory,United States,1.0,3,0.0,3.0,1998-2002
5246,Czechia,South Africa,1.0,1,0.0,1.0,1998-2002
13942,Netherlands,Tunisia,1.0,1,0.0,1.0,1998-2002
7982,Greece,Austria,1.0,4,0.0,4.0,1998-2002
18646,Spain,Bulgaria,1.0,5,3.0,2.0,1998-2002
15290,Panama,Argentina,1.0,7,1.0,6.0,1998-2002
5239,Czechia,Slovakia,1.0,36,9.0,26.0,1998-2002
21805,United Kingdom,Iceland,1.0,13,2.0,11.0,1998-2002
7991,Greece,Belgium,1.0,17,6.0,11.0,1998-2002
5205,Czechia,Pakistan,1.0,2,1.0,1.0,1998-2002
13927,Netherlands,Syria,1.0,1,0.0,1.0,1998-2002
21817,United Kingdom,Iran,1.0,133,13.0,119.0,1998-2002
5172,Czechia,Lithuania,1.0,1,1.0,0.0,1998-2002
13914,Netherlands,Sudan,1.0,2,0.0,2.0,1998-2002
5168,Czechia,Kuwait,1.0,2,0.0,2.0,1998-2002
8037,Greece,France,1.0,47,14.0,33.0,1998-2002
15322,Panama,France,1.0,1,0.0,1.0,1998-2002
21830,United Kingdom,Israel,1.0,76,14.0,62.0,1998-2002
15323,Panama,Germany,1.0,1,1.0,0.0,1998-2002
20966,Turkey,Ireland,1.0,1,0.0,1.0,1998-2002
5161,Czechia,Japan,1.0,15,1.0,13.0,1998-2002
13910,Netherlands,Sri Lanka,1.0,4,1.0,3.0,1998-2002
8043,Greece,Germany,1.0,56,8.0,48.0,1998-2002
5157,Czechia,Italy,1.0,22,10.0,12.0,1998-2002
13906,Netherlands,Spain,1.0,136,34.0,101.0,1998-2002
5153,Czechia,Israel,1.0,8,0.0,7.0,1998-2002
8048,Greece,Hungary,1.0,2,0.0,2.0,1998-2002
5149,Czechia,Ireland,1.0,5,2.0,3.0,1998-2002
21834,United Kingdom,Italy,1.0,558,199.0,359.0,1998-2002
8033,Greece,Finland,1.0,4,0.0,4.0,1998-2002
15317,Panama,Ecuador,1.0,1,0.0,1.0,1998-2002
21825,United Kingdom,Ireland,1.0,413,110.0,300.0,1998-2002
19086,Sudan,Botswana,1.0,1,0.0,1.0,1998-2002
8012,Greece,China,1.0,4,0.0,4.0,1998-2002
5200,Czechia,Norway,1.0,6,3.0,3.0,1998-2002
5199,Czechia,North Macedonia,1.0,1,0.0,1.0,1998-2002
18642,Spain,Brazil,1.0,86,30.0,56.0,1998-2002
19084,Sudan,Belgium,1.0,2,0.0,2.0,1998-2002
8016,Greece,Croatia,1.0,2,2.0,0.0,1998-2002
8018,Greece,Cyprus,1.0,8,1.0,7.0,1998-2002
15308,Panama,Colombia,1.0,1,0.0,1.0,1998-2002
15383,Papua New Guinea,Ghana,1.0,1,0.0,1.0,1998-2002
20970,Turkey,Israel,1.0,6,1.0,5.0,1998-2002
8022,Greece,Czechia,1.0,2,0.0,2.0,1998-2002
5187,Czechia,Nepal,1.0,1,0.0,1.0,1998-2002
15312,Panama,Costa Rica,1.0,1,0.0,1.0,1998-2002
21821,United Kingdom,Iraq,1.0,1,0.0,1.0,1998-2002
13923,Netherlands,Switzerland,1.0,113,26.0,86.0,1998-2002
5181,Czechia,Mexico,1.0,2,1.0,1.0,1998-2002
8027,Greece,Denmark,1.0,13,2.0,11.0,1998-2002
13919,Netherlands,Sweden,1.0,88,20.0,68.0,1998-2002
5189,Czechia,Netherlands,1.0,10,4.0,6.0,1998-2002
13867,Netherlands,Romania,1.0,3,2.0,1.0,1998-2002
13864,Netherlands,Reunion,1.0,1,0.0,1.0,1998-2002
8134,Greece,Romania,1.0,1,1.0,0.0,1998-2002
21923,United Kingdom,Mongolia,1.0,4,0.0,2.0,1998-2002
15464,Peru,Brazil,1.0,2,0.0,2.0,1998-2002
8260,Guatemala,Colombia,1.0,1,1.0,0.0,1998-2002
20897,Turkey,Bulgaria,1.0,1,1.0,0.0,1998-2002
4859,Cuba,Mexico,1.0,47,11.0,36.0,1998-2002
13796,Netherlands,Malaysia,1.0,3,0.0,3.0,1998-2002
15469,Peru,Canada,1.0,2,0.0,2.0,1998-2002
8266,Guatemala,Germany,1.0,1,0.0,1.0,1998-2002
4852,Cuba,Japan,1.0,1,0.0,1.0,1998-2002
21928,United Kingdom,Montserrat,1.0,3,1.0,2.0,1998-2002
13793,Netherlands,Malawi,1.0,1,0.0,1.0,1998-2002
4848,Cuba,Italy,1.0,5,1.0,4.0,1998-2002
4847,Cuba,Ireland,1.0,1,0.0,1.0,1998-2002
8271,Guatemala,Japan,1.0,1,0.0,1.0,1998-2002
15472,Peru,Chile,1.0,1,1.0,0.0,1998-2002
4842,Cuba,India,1.0,2,1.0,1.0,1998-2002
21931,United Kingdom,Morocco,1.0,5,0.0,5.0,1998-2002
4867,Cuba,Nicaragua,1.0,1,0.0,1.0,1998-2002
20893,Turkey,Brazil,1.0,2,0.0,2.0,1998-2002
8256,Guatemala,Canada,1.0,2,1.0,1.0,1998-2002
4870,Cuba,Poland,1.0,1,0.0,1.0,1998-2002
4898,Cuba,United Kingdom,1.0,5,0.0,5.0,1998-2002
8233,Guadeloupe,Germany,1.0,2,1.0,1.0,1998-2002
15449,Paraguay,Venezuela,1.0,1,0.0,1.0,1998-2002
15450,Peru,Argentina,1.0,4,1.0,3.0,1998-2002
4890,Cuba,Switzerland,1.0,2,0.0,2.0,1998-2002
4886,Cuba,Sweden,1.0,5,2.0,3.0,1998-2002
8241,Guadeloupe,Russia,1.0,1,0.0,1.0,1998-2002
13811,Netherlands,Mozambique,1.0,1,0.0,1.0,1998-2002
4882,Cuba,Spain,1.0,36,9.0,26.0,1998-2002
13808,Netherlands,Morocco,1.0,3,0.0,3.0,1998-2002
19116,Sudan,Italy,1.0,2,1.0,1.0,1998-2002
20902,Turkey,Canada,1.0,23,4.0,19.0,1998-2002
8248,Guadeloupe,United States,1.0,2,1.0,1.0,1998-2002
4876,Cuba,Russia,1.0,2,1.0,1.0,1998-2002
13804,Netherlands,Mexico,1.0,10,2.0,8.0,1998-2002
4874,Cuba,Qatar,1.0,1,0.0,1.0,1998-2002
4871,Cuba,Portugal,1.0,3,0.0,3.0,1998-2002
19119,Sudan,Japan,1.0,2,0.0,2.0,1998-2002
8276,Guatemala,Norway,1.0,1,0.0,1.0,1998-2002
8278,Guatemala,Philippines,1.0,1,0.0,1.0,1998-2002
4836,Cuba,Germany,1.0,7,0.0,7.0,1998-2002
19127,Sudan,Malaysia,1.0,4,0.0,4.0,1998-2002
8318,Guinea-Bissau,Sweden,1.0,1,0.0,1.0,1998-2002
21949,United Kingdom,New Caledonia,1.0,3,1.0,2.0,1998-2002
4787,Cuba,Argentina,1.0,11,2.0,9.0,1998-2002
20876,Turkey,Azerbaijan,1.0,5,0.0,5.0,1998-2002
21951,United Kingdom,New Zealand,1.0,293,90.0,201.0,1998-2002
8327,Guyana,Germany,1.0,1,0.0,1.0,1998-2002
4781,Croatia,Uzbekistan,1.0,1,0.0,1.0,1998-2002
8329,Guyana,United Kingdom,1.0,3,0.0,3.0,1998-2002
13761,Netherlands,Japan,1.0,60,4.0,55.0,1998-2002
4777,Croatia,United States,1.0,39,11.0,28.0,1998-2002
18587,South Korea,Uzbekistan,1.0,1,0.0,1.0,1998-2002
15506,Peru,Indonesia,1.0,2,1.0,1.0,1998-2002
20872,Turkey,Austria,1.0,3,2.0,1.0,1998-2002
4773,Croatia,United Kingdom,1.0,11,5.0,6.0,1998-2002
8334,Haiti,France,1.0,1,0.0,1.0,1998-2002
20868,Turkey,Australia,1.0,8,3.0,5.0,1998-2002
13769,Netherlands,Kenya,1.0,11,4.0,7.0,1998-2002
4796,Cuba,Belgium,1.0,1,0.0,1.0,1998-2002
20880,Turkey,Bahrain,1.0,1,0.0,1.0,1998-2002
15497,Peru,Germany,1.0,1,0.0,1.0,1998-2002
13788,Netherlands,Lithuania,1.0,1,0.0,1.0,1998-2002
4832,Cuba,France,1.0,11,5.0,5.0,1998-2002
8286,Guatemala,United States,1.0,4,2.0,2.0,1998-2002
15481,Peru,Costa Rica,1.0,1,1.0,0.0,1998-2002
13781,Netherlands,Lebanon,1.0,2,0.0,2.0,1998-2002
4825,Cuba,Ecuador,1.0,2,0.0,2.0,1998-2002
18595,South Korea,Zimbabwe,1.0,1,0.0,1.0,1998-2002
13777,Netherlands,Latvia,1.0,1,0.0,1.0,1998-2002
15446,Paraguay,United Kingdom,1.0,1,0.0,1.0,1998-2002
20885,Turkey,Belgium,1.0,10,3.0,7.0,1998-2002
4813,Cuba,Chile,1.0,1,0.0,1.0,1998-2002
13774,Netherlands,Kuwait,1.0,1,0.0,1.0,1998-2002
4809,Cuba,Canada,1.0,1,1.0,0.0,1998-2002
8305,Guinea-Bissau,Denmark,1.0,2,1.0,1.0,1998-2002
4804,Cuba,Burundi,1.0,2,1.0,1.0,1998-2002
21945,United Kingdom,Netherlands,1.0,432,93.0,339.0,1998-2002
8310,Guinea-Bissau,Ivory Coast,1.0,1,0.0,1.0,1998-2002
4800,Cuba,Brazil,1.0,22,1.0,21.0,1998-2002
21941,United Kingdom,Nepal,1.0,1,1.0,0.0,1998-2002
5262,Czechia,Switzerland,1.0,25,7.0,18.0,1998-2002
8228,Guadeloupe,France,1.0,13,4.0,9.0,1998-2002
13818,Netherlands,New Caledonia,1.0,1,0.0,1.0,1998-2002
21881,United Kingdom,Lesotho,1.0,1,0.0,1.0,1998-2002
15402,Papua New Guinea,South Africa,1.0,1,0.0,1.0,1998-2002
13850,Netherlands,Philippines,1.0,5,1.0,4.0,1998-2002
21883,United Kingdom,Libya,1.0,2,0.0,2.0,1998-2002
8161,Greece,South Korea,1.0,1,0.0,1.0,1998-2002
8165,Greece,Spain,1.0,13,3.0,10.0,1998-2002
15406,Papua New Guinea,Switzerland,1.0,3,1.0,2.0,1998-2002
21887,United Kingdom,Lithuania,1.0,2,1.0,1.0,1998-2002
13846,Netherlands,Peru,1.0,2,1.0,1.0,1998-2002
13845,Netherlands,Papua New Guinea,1.0,1,0.0,1.0,1998-2002
8170,Greece,Sweden,1.0,14,2.0,12.0,1998-2002
18619,Spain,Australia,1.0,27,11.0,16.0,1998-2002
19105,Sudan,India,1.0,1,0.0,1.0,1998-2002
15411,Papua New Guinea,United Kingdom,1.0,3,1.0,2.0,1998-2002
21891,United Kingdom,Luxembourg,1.0,2,0.0,2.0,1998-2002
8174,Greece,Switzerland,1.0,24,6.0,18.0,1998-2002
